..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\Lift\testRG_r_Main_TFF.avalla	{asmeta.mutation.operators.RuleRemover@79abbdbb=16=16, asmeta.mutation.operators.ChooseRuleMutate@6684b66c=0=0}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\Lift\testRG_r_Main_TFTRG1.avalla	{asmeta.mutation.operators.RuleRemover@27300dd1=16=16, asmeta.mutation.operators.ChooseRuleMutate@2ce5db19=0=0}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\Lift\testRG_r_Main_TTRG1.avalla	{asmeta.mutation.operators.ChooseRuleMutate@337bb408=0=0, asmeta.mutation.operators.RuleRemover@2f1d1bf3=0=16}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\Lift\testRG_r_Main_TTRG2.avalla	{asmeta.mutation.operators.RuleRemover@58bf3e85=16=16, asmeta.mutation.operators.ChooseRuleMutate@e828693=0=0}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testCR_r_Main_T1.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testCR_r_Main_T2.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testCR_r_Main_T3.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__REQ_ASSOC_ABORT_TRG13.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__REQ_ASSOC_REL_F3.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__REQ_ASSOC_REL_TRG13.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__RX_AARE_TRG13.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__RX_AARQ_TRG13.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__RX_ABRT_TRG13.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__RX_RLRE_TRG13.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__RX_RLRQ_TRG13.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__RX_ROER_TRG13.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__RX_ROIV_TRG13.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__RX_ROIV_TRG23.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Disassociating__RX_RORJ_TRG13.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Operating__REQ_ASSOC_ABORT_TRG12.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Operating__RX_AARE_TRG12.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Operating__RX_AARQ_TRG12.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Operating__RX_RLRE_TRG12.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Operating__RX_RLRQ_TRG12.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Operating__RX_ROER_TRG12.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Operating__RX_ROER_TRG22.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Operating__RX_RORJ_TRG12.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Operating__RX_RORJ_TRG22.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Unassociated__REQ_ASSOC_ABORT_TRG11.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Unassociated__REQ_ASSOC_ABORT_TRG21.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Unassociated__REQ_ASSOC_REL_TRG11.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Unassociated__REQ_ASSOC_REL_TRG21.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Unassociated__RX_AARE_TRG11.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Unassociated__RX_AARE_TRG21.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Unassociated__RX_ABRT_TRG11.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Unassociated__RX_RLRE_TRG11.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Unassociated__RX_RLRE_TRG21.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\PhdMaster\testRG_r_Main_TRG_r_Unassociated__RX_RLRQ_TRG11.avalla	{}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\SafeCombination\testRG_r_Main_TRG1.avalla	{asmeta.mutation.operators.ChooseRuleMutate@2c87cea1=0=0, asmeta.mutation.operators.RuleRemover@2470e40c=0=7}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\SafeCombination\testRG_r_Main_TRG2.avalla	{asmeta.mutation.operators.ChooseRuleMutate@3d6b2c13=0=0, asmeta.mutation.operators.RuleRemover@5bb3ece7=7=7}
..\asmeta.evotest\asmeta.evotest.experiments\data\ase-exp\results\run0\atgttests\SafeCombination\testRG_r_Main_TRG3.avalla	{asmeta.mutation.operators.RuleRemover@1f3db73c=7=7, asmeta.mutation.operators.ChooseRuleMutate@5dfeaaf2=0=0}
