asm_path,asm_name,n_macro,n_update,n_forall,n_branch,n_rule,approach,status,exec_time_ms,n_scenarios,n_step,n_set,n_check,macro_coverage,update_rule_coverage,forall_rule_coverage,branch_coverage,rule_coverage,n_failing_scenarios,n_val_error_scenarios,casemutator_score,chooserulemutator_score,condnegator_score,condremover_score,forallmutator_score,partoseqmutator_score,seqtoparmutator_score,ruleremover_score,casemutator_count,chooserulemutator_count,condnegator_count,condremover_count,forallmutator_count,partoseqmutator_count,seqtoparmutator_count,ruleremover_count
../../../asm_examples/examples_for_nuXmv/FunctionInt2.asm,FunctionInt2,1,2,0,1,3,iterativerandom,OK,35.0,30,500,500,500,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,NaN,NaN,1.0,0,0,1,2,0,0,0,3
../../../asm_examples/PHD/phd_master_flat2_v1.asm,phd_master_flat2_v1,4,52,0,3,85,iterativerandom,OK,67.0,60,1400,1400,2822,1.0,0.78846157,NaN,1.0,1.0,0,0,1.0,NaN,1.0,1.0,NaN,0.037037037,NaN,0.875,26,0,3,3,0,27,0,88
../../../asm_examples/PillBox/Level1/pillbox_1_elia.asm,pillbox_1_elia,7,21,0,10,45,iterativerandom,OK,163.0,60,1400,835,8100,0.5714286,0.61904764,NaN,0.8,0.6666667,0,0,NaN,NaN,1.0,0.8,NaN,0.16666667,NaN,0.6363636,0,0,10,10,0,6,0,44
../../../asm_examples/examples/GilbreathCardTrick/workingButNotElegant/GilbreathCardTrickWithAuxFunctionSimple.asm,GilbreathCardTrickWithAuxFunctionSimple,4,15,1,8,34,iterativerandom,NO_VALID_SCENARIOS,14650.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,2,3,4,8,3,6,0,35
../../../asm_examples/examples/agents/populationAgent_raff1_twoPersons.asm,populationAgent_raff1_twoPersons,4,7,1,8,20,iterativerandom,NO_VALID_SCENARIOS,NaN,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
../../../asm_examples/examples/simple_example/QuickSort.asm,QuickSort,1,1,0,0,1,iterativerandom,NO_VALID_SCENARIOS,447.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,1
../../../asm_examples/examples/ABZ2020/CarSystemModule/CarSystem002/CarSystem002main.asm,CarSystem002main,2,2,0,0,10,iterativerandom,NO_VALID_SCENARIOS,NaN,9,90,776,1998,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,0,0,0,0,0,2,0,10
../../../asm_examples/stereoacuity/certifierGround.asm,certifierGround,12,12,0,7,36,iterativerandom,OK,1208.0,60,1400,105,7300,1.0,1.0,NaN,0.9285714,0.9722222,0,0,NaN,NaN,1.0,0.9285714,NaN,0.0,NaN,0.9722222,0,0,7,14,0,5,0,36
../../../asm_examples/examples/philosophers/philosophers3.asm,philosophers3,4,6,0,5,17,iterativerandom,NO_VALID_SCENARIOS,NaN,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
../../../asm_examples/examples/traffic_light/oneWayTrafficLightUsingEnumFlat.asm,oneWayTrafficLightUsingEnumFlat,5,12,0,8,29,iterativerandom,OK,40.0,30,500,500,974,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,0.0,NaN,1.0,0,0,8,8,0,5,0,29
../../../asm_examples/examples/simple_example/euclideMCD.asm,euclideMCD,1,2,0,2,4,iterativerandom,OK,10.0,30,500,0,1060,1.0,1.0,NaN,0.75,1.0,0,0,NaN,NaN,1.0,0.6666667,NaN,NaN,NaN,1.0,0,0,2,3,0,0,0,4
../../../asm_examples/examples/hemodialysisDevice/ABZ2016/Hemodialysis_ref2_forMC.asm,Hemodialysis_ref2_forMC,89,95,0,108,324,iterativerandom,OK,11.0,10,100,50,292,0.16853933,0.10526316,NaN,0.18518518,0.16666667,0,0,NaN,NaN,0.14814815,0.12612613,NaN,0.06451613,NaN,0.13836478,0,0,108,111,0,31,0,318
../../../asm_examples/examples/agents/populationAgent_raff1_fourPersons.asm,populationAgent_raff1_fourPersons,4,7,1,8,20,iterativerandom,NO_VALID_SCENARIOS,NaN,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
../../../asm_examples/examples/simple_example/population_raff1_fourPersons.asm,population_raff1_fourPersons,4,7,1,8,21,iterativerandom,NO_VALID_SCENARIOS,43016.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,0,4,3,3,3,2,0,21
../../../asm_examples/examples/swapBoard.asm,swapBoard,3,4,1,3,11,iterativerandom,OK,67.0,30,500,500,2108,1.0,1.0,0.33333334,0.6666667,1.0,0,0,NaN,1.0,1.0,1.0,0.6666667,1.0,NaN,1.0,0,1,1,2,3,2,0,11
../../../asm_examples/examples/simple_example/IncosistentUpdate.asm,IncosistentUpdate,1,2,0,2,5,iterativerandom,NO_VALID_SCENARIOS,3.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,0,2,0,0,0,1,0,5
../../../asm_examples/examples/agents/SeqSelf.asm,SeqSelf,4,2,0,0,5,iterativerandom,NO_VALID_SCENARIOS,19.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,0,0,0,0,0,0,1,6
../../../asm_examples/systemc/clock/main.asm,main,1,0,0,0,1,iterativerandom,NO_VALID_SCENARIOS,22.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,1
../../../asm_examples/examples/ABZ2020/CarSystemModule/CarSystem003/CarSystem003main.asm,CarSystem003main,2,2,0,0,11,iterativerandom,NO_VALID_SCENARIOS,NaN,9,90,863,2328,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,0,0,0,0,0,2,0,11
../../../asm_examples/examples/petriNets/petriNetNoEdgeWeightNoPlaceCapacity_seq.asm,petriNetNoEdgeWeightNoPlaceCapacity_seq,2,2,2,3,7,iterativerandom,OK,307.0,30,500,0,1870,1.0,1.0,0.5,0.5,1.0,0,0,NaN,1.0,NaN,NaN,0.6666667,NaN,0.0,1.0,0,1,0,0,6,0,1,7
../../../asm_examples/examples/ermts_etcs/scenarios/ertms_hl3_scenario3.asm,ertms_hl3_scenario3,30,126,34,108,321,iterativerandom,NO_VALID_SCENARIOS,11376.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null,8,0,74,91,102,54,1,327
