asm_path;asm_name;n_macro;n_update;n_forall;n_branch;n_rule;approach;status;exec_time_ms;n_scenarios;n_step;n_set;n_check;macro_coverage;update_rule_coverage;forall_rule_coverage;branch_coverage;rule_coverage;n_failing_scenarios;n_val_error_scenarios;casemutator_score;chooserulemutator_score;condnegator_score;condremover_score;forallmutator_score;partoseqmutator_score;seqtoparmutator_score;ruleremover_score
../../../asm_examples/stereoacuity/certifier_nochoose_noundef.asm;certifier_nochoose_noundef;17;28;0;17;74;evoavalla;OK;69322.0;11;35;10;324;1.0;0.89285713;NaN;0.9411765;1.0;0;0;1.0;NaN;1.0;0.90625;NaN;0.22222222;NaN;0.9594595
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight4/TrafficLight_4.asm;TrafficLight_4;13;11;0;17;60;evoavalla;OK;67859.0;4;14;12;108;1.0;0.90909094;NaN;0.8235294;1.0;0;0;NaN;NaN;1.0;0.3888889;NaN;0.09090909;NaN;0.98333335
../../../asm_examples/examples/landingGearSystem/LGS_EV.asm;LGS_EV;4;38;0;3;60;evoavalla;OK;68673.0;7;33;14;280;1.0;1.0;NaN;1.0;1.0;0;0;1.0;NaN;1.0;1.0;NaN;0.0;NaN;1.0
../../../asm_examples/examples/landingGearSystem/LGS_SE_v2.asm;LGS_SE_v2;4;38;0;9;66;evoavalla;OK;69548.0;7;33;29;280;1.0;1.0;NaN;0.6666667;1.0;0;0;1.0;NaN;1.0;0.5;NaN;0.0;NaN;1.0
../../../asm_examples/examples/landingGearSystem/LGS_GM.asm;LGS_GM;4;15;0;3;22;evoavalla;OK;67227.0;6;36;13;84;1.0;1.0;NaN;1.0;1.0;0;0;1.0;NaN;1.0;1.0;NaN;NaN;NaN;1.0
../../../asm_examples/PHD/phd_master_flat2_v1.asm;phd_master_flat2_v1;4;52;0;3;85;evoavalla;OK;69485.0;24;52;51;128;1.0;0.78846157;NaN;1.0;1.0;0;0;1.0;NaN;1.0;1.0;NaN;0.037037037;NaN;875
../../../asm_examples/stereoacuity/certifierGround.asm;certifierGround;12;12;0;7;36;evoavalla;OK;67137.0;4;13;5;70;1.0;0.9166667;NaN;1.0;1.0;0;0;NaN;NaN;1.0;1.0;NaN;0.0;NaN;0.9722222
../../../asm_examples/examples/traffic_light/oneWayTrafficLightUsingEnumFlat.asm;oneWayTrafficLightUsingEnumFlat;5;12;0;8;29;evoavalla;OK;66487.0;2;5;4;35;1.0;1.0;NaN;0.8125;1.0;0;0;NaN;NaN;1.0;625;NaN;0.0;NaN;1.0
../../../asm_examples/stereoacuity/certifierRaff5.asm;certifierRaff5;14;20;0;11;53;evoavalla;OK;67974.0;4;17;4;149;1.0;0.75;NaN;1.0;1.0;0;0;NaN;NaN;1.0;1.0;NaN;0.0;NaN;0.90384614
../../../asm_examples/examples/hemodialysisDevice/ABZ2016/Hemodialysis_GM.asm;Hemodialysis_GM;5;2;0;3;11;evoavalla;OK;65449.0;1;3;0;4;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;0.6666667;0.6666667;NaN;1.0;NaN;0.8
../../../asm_examples/examples/parkingSimple.asm;parkingSimple;1;2;0;2;4;evoavalla;OK;65791.0;2;3;4;0;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;0.5;0.33333334;NaN;NaN;NaN;0.0
../../../asm_examples/unibgstudents/Prova.asm;Prova;3;2;0;4;9;evoavalla;OK;65786.0;2;3;2;5;1.0;1.0;NaN;875;1.0;0;0;NaN;NaN;1.0;0.75;NaN;1.0;NaN;1.0
../../../asm_examples/examples/simple_example/AdvancedClock.asm;AdvancedClock;2;3;0;2;8;evoavalla;OK;65957.0;1;1;0;0;0.5;0.33333334;NaN;0.25;375;0;0;NaN;NaN;0.0;0.0;NaN;0.0;NaN;0.0
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight2/TrafficLight_2.asm;TrafficLight_2;14;23;0;23;76;evoavalla;OK;69308.0;4;14;12;108;1.0;0.95652175;NaN;0.7826087;1.0;0;0;NaN;NaN;1.0;0.29166666;NaN;0.0625;NaN;0.9868421
../../../asm_examples/PHD/phd_master_flat2_v6.asm;phd_master_flat2_v6;6;152;0;14;253;evoavalla;OK;82524.0;69;168;169;405;1.0;0.69078946;NaN;1.0;0.94071144;0;0;0.6527778;NaN;1.0;1.0;NaN;0.0121951215;NaN;0.7798507
../../../asm_examples/examples/sensorVotingSimpleVersion.asm;sensorVotingSimpleVersion;2;5;0;4;12;evoavalla;OK;65975.0;3;3;4;0;1.0;0.8;NaN;0.75;1.0;0;0;NaN;NaN;0.0;0.0;NaN;0.0;NaN;0.0
