asm_path,asm_name,n_macro,n_update,n_forall,n_branch,n_rule,approach,status,exec_time_ms,n_scenarios,n_step,n_set,n_check,macro_coverage,update_rule_coverage,forall_rule_coverage,branch_coverage,rule_coverage,n_failing_scenarios,n_val_error_scenarios,casemutator_score,chooserulemutator_score,condnegator_score,condremover_score,forallmutator_score,partoseqmutator_score,seqtoparmutator_score,ruleremover_score
../../../asm_examples/erinda/fms_io_for_atgt.asm,fms_io_for_atgt,5,4,0,4,14,random,NO_VALID_SCENARIOS,192.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/landingGearSystem/LGS_SE_v2.asm,LGS_SE_v2,4,38,0,9,66,random,OK,104.0,10,100,143,450,1.0,0.47368422,NaN,0.6111111,0.530303,0,0,0.47058824,NaN,0.7777778,0.6666667,NaN,0.0,NaN,0.52112675
../../../asm_examples/examples/hemodialysisDevice/ABZ2016/Hemodialysis_ref2_par.asm,Hemodialysis_ref2_par,93,95,0,122,387,random,OK,14.0,10,100,109,289,0.086021505,0.021052632,NaN,0.10245901,0.08268734,0,0,NaN,NaN,0.114754096,0.0952381,NaN,0.02,NaN,0.034031413
../../../asm_examples/DAS/TrafficMonitoringSystem/validation/mainForModelCheckingWithPatterns.asm,mainForModelCheckingWithPatterns,32,40,10,68,213,random,NO_VALID_SCENARIOS,458.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/GilbreathCardTrick/GilbreathCardTrickSimpl.asm,GilbreathCardTrickSimpl,7,11,2,9,39,random,NO_VALID_SCENARIOS,1694.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/models/LIFT.asm,LIFT,9,11,4,8,33,random,OK,214.0,10,100,502,389,0.5555556,0.72727275,0.5833333,0.875,0.8181818,0,0,NaN,NaN,1.0,0.75,0.8333333,0.4,1.0,0.9705882
../../../asm_examples/examples/petriNets/forAsmetaSMV/petriNet_forNuSMV_reversable.asm,petriNet_forNuSMV_reversable,2,1,1,2,4,random,MUTATION_ERR,279.0,10,100,0,300,1.0,1.0,0.33333334,0.5,1.0,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/landingGearSystem/LGS_GM.asm,LGS_GM,4,15,0,3,22,random,OK,35.0,10,100,100,220,1.0,0.8666667,NaN,1.0,0.90909094,0,0,0.88235295,NaN,1.0,1.0,NaN,NaN,NaN,0.9259259
../../../asm_examples/examples_for_nuXmv/FunctionInt.asm,FunctionInt,1,3,0,2,6,random,OK,26.0,10,100,0,210,1.0,1.0,NaN,0.75,1.0,0,0,NaN,1.0,1.0,1.0,NaN,1.0,NaN,1.0
../../../asm_examples/examples/models/FlipFlop.asm,FlipFlop,3,1,0,1,7,random,OK,6.0,7,3,14,1,0.6666667,1.0,NaN,1.0,0.85714287,0,0,NaN,NaN,1.0,0.0,NaN,1.0,0.0,0.2857143
